genes,region
KCNE4,CER
H4C8,CER
GLP2R,CER
TNNT2,CER
ALOX15B,CER
RGS1,CER
HSPA1A,CER
GEM,CER
MAFF,CER
PLK5,CER
RANBP3L,CER
ANGPT2,CER
SERPINE1,CER
S100A4,CER
SLC5A3,CER
H2BC5,CER
PCDH18,CER
GPR4,CER
PDLIM1,CER
MCM8,CER
GJA4,CER
LINC02607,CER
MT1L,CER
H4C5,CER
HSPA1B,CER
NPTX2,CER
MT1H,CER
CCN1,CER
H1-2,CER
PLA1A,CER
HGF,CER
CP,CER
DUSP1,CER
CCN2,CER
FOS,CER
BIRC3,CER
DSP,CER
S100A8,CER
TM4SF1,CER
CYP1B1,CER
S100A9,CER
PAX8-AS1,CER
ANO3,CER
CHRNA2,CER
MEPE,CER
BCL11B,CER
KLK7,CER
EPN3,CER
P2RY13,CER
TRABD2A,CER
TNC,CER
HBB,CER
HBA2,CER
LINC01299,CER
CX3CR1,CER
CEDORA,DLPFC
ANGPT2,DLPFC
AZGP1,DLPFC
LINC01736,DLPFC
MAFF,DLPFC
GEM,DLPFC
KCNE4,DLPFC
CCL2,DLPFC
S100A4,DLPFC
MT1F,DLPFC
SLC5A11,DLPFC
SPN,DLPFC
SLCO4A1,DLPFC
MT1H,DLPFC
SYTL4,DLPFC
ANLN,DLPFC
HIGD1B,DLPFC
DDIT4L,DLPFC
TMPRSS5,DLPFC
HILPDA,DLPFC
TRIP10,DLPFC
SLC6A12,DLPFC
FCGBP,DLPFC
SMTN,DLPFC
KIF19,DLPFC
GAREM2,DLPFC
APLN,DLPFC
LINC00499,DLPFC
PHYHD1,DLPFC
PRELP,DLPFC
RIPOR3,DLPFC
CPM,DLPFC
IP6K3,DLPFC
PIEZO2,DLPFC
SLC4A11,DLPFC
SPP1,DLPFC
SLC25A48,DLPFC
LINC03082,DLPFC
HERC2P3,DLPFC
CA12,DLPFC
ADAMTS2,DLPFC
GLP2R,DLPFC
PPEF1,DLPFC
MCHR2,DLPFC
VGF,DLPFC
FREM3,DLPFC
LINC01007,DLPFC
SST,DLPFC
TMEM132E-DT,DLPFC
SOWAHB,DLPFC
CRH,DLPFC
FRMPD2B,DLPFC
PCDHGC5,DLPFC
FOXJ1,IFG
PACRG-AS3,IFG
HSPA1A,IFG
CEDORA,IFG
SLC5A11,IFG
ADAMTS2,IFG
AZGP1,IFG
C4B,IFG
NGFR,IFG
TMPRSS5,IFG
ANGPT2,IFG
LINC03082,IFG
S100A4,IFG
LINC01736,IFG
GNRH1,IFG
LINC01094,IFG
SLC47A2,IFG
ZDHHC11,IFG
SLC5A3,IFG
NEAT1,IFG
CAPS,IFG
COL27A1,IFG
SPN,IFG
CFI,IFG
ADORA3,IFG
CD44,IFG
POU3F4,IFG
GPR6,IFG
APLNR,IFG
MTCO1P12,IFG
ABCC12,IFG
CARTPT,IFG
LINC00507,IFG
NEUROD6,IFG
FRMPD2B,IFG
LINC01007,IFG
LINC01202,IFG
PCSK1,IFG
DUSP4,IFG
ADCYAP1,IFG
PPEF1,IFG
CRH,IFG
VGF,IFG
SST,IFG
XIST,PHG
NEAT1,PHG
FOS,PHG
CXCR4,PHG
S100A4,PHG
CCN1,PHG
LINC03082,PHG
ZIC4,PHG
ZIC1,PHG
PLAUR,PHG
ITGA10,PHG
DUSP1,PHG
C5AR1,PHG
ITGAX,PHG
GEM,PHG
KCNE4,PHG
COL1A2,PHG
FOXJ1,PHG
BCYRN1,PHG
LINC01736,PHG
NFKB2,PHG
C10orf105,PHG
OLR1,PHG
ATF3,PHG
BTG2,PHG
SERPINE1,PHG
TNC,PHG
ADAM33,PHG
CD44,PHG
SLC13A4,PHG
TEAD3,PHG
HSPB1,PHG
ZFP36,PHG
AEBP1,PHG
MYH11,PHG
TRIP10,PHG
JUNB,PHG
LINC01094,PHG
SMTN,PHG
MYL9,PHG
RGL3,PHG
INHBA,PHG
SPN,PHG
ITGA5,PHG
MS4A6A,PHG
A4GALT,PHG
KANK2,PHG
MS4A7,PHG
TRIM5,PHG
C11orf96,PHG
COL27A1,PHG
ZFP36L1,PHG
CHST6,PHG
PPP1R13L,PHG
PARVG,PHG
SRPX,PHG
PIK3R5,PHG
TNFRSF11B,PHG
CAPS,PHG
ITPKB,PHG
CSF1,PHG
SPARC,PHG
GLI2,PHG
GFAP,PHG
COL6A2,PHG
ZDHHC11,PHG
A2ML1,PHG
ARL17A,PHG
PTAFR,PHG
C4B,PHG
TRIM47,PHG
NGFR,PHG
TGFBI,PHG
PRELP,PHG
IGF2,PHG
WWTR1,PHG
LINC01354,PHG
SERPINH1,PHG
RASL12,PHG
SEMA3F,PHG
APLNR,PHG
GMPR,PHG
ICAM1,PHG
BAG3,PHG
EPHA2,PHG
GBP4,PHG
MAFF,PHG
CIITA,PHG
KLF4,PHG
AHNAK,PHG
IER3,PHG
FXYD5,PHG
HSPA1A,PHG
NPNT,PHG
CP,PHG
NWD1,PHG
NLRC5,PHG
COLEC12,PHG
ATP2A3,PHG
SCIN,PHG
ID3,PHG
ITGAL,PHG
TGIF1,PHG
BGN,PHG
SPHK1,PHG
LATS2,PHG
PLEK,PHG
MMP14,PHG
